1.0997	1
1.1131	1
1.1471	1
1.1582	1
1.1708	1
1.1734	1
1.1841	1
1.1862	1
1.1897	1
1.1930	1
1.2049	1
1.2112	1
1.2134	1
1.2164	1
1.2193	1
1.2210	0
1.2295	1
1.2313	1
1.2320	0
1.2371	1
1.2389	1
1.2411	0
1.2412	1
1.2454	1
1.2482	1
1.2566	1
1.2671	1
1.2789	1
1.2803	1
1.2844	0
1.2892	1
1.2955	1
1.3088	1
1.3097	1
1.3123	0
1.3136	1
1.3139	1
1.3142	1
1.3150	0
1.3167	1
1.3197	0
1.3224	0
1.3282	0
1.3335	1
1.3345	0
1.3535	1
1.3565	1
1.3573	1
1.3575	1
1.3622	1
1.3656	1
1.3670	1
1.3690	1
1.3690	1
1.3713	1
1.3715	1
1.3733	0
1.3748	1
1.3749	0
1.3762	1
1.3783	1
1.3793	1
1.3802	0
1.3809	0
1.3834	1
1.3857	1
1.3863	1
1.3870	1
1.3871	1
1.3883	1
1.3883	1
1.3883	1
1.3886	1
1.3886	1
1.3892	1
1.3892	1
1.3912	1
1.3913	1
1.3927	1
1.3955	1
1.3971	1
1.3982	1
1.4005	0
1.4010	1
1.4033	1
1.4055	1
1.4055	1
1.4067	0
1.4096	1
1.4100	1
1.4109	1
1.4122	1
1.4124	0
1.4144	1
1.4160	0
1.4161	1
1.4168	0
1.4172	1
1.4178	1
1.4178	1
1.4208	1
1.4214	1
1.4218	1
1.4220	0
1.4232	1
1.4237	0
1.4237	1
1.4241	0
1.4243	1
1.4243	1
1.4247	1
1.4248	1
1.4256	1
1.4256	1
1.4273	0
1.4282	1
1.4282	1
1.4296	1
1.4298	1
1.4300	1
1.4301	1
1.4301	1
1.4330	1
1.4341	1
1.4345	1
1.4346	1
1.4347	1
1.4357	1
1.4362	1
1.4362	0
1.4369	0
1.4380	1
1.4380	1
1.4381	0
1.4392	1
1.4393	1
1.4397	0
1.4428	0
1.4430	0
1.4436	1
1.4445	0
1.4446	1
1.4454	1
1.4459	0
1.4461	1
1.4478	0
1.4486	0
1.4489	0
1.4494	1
1.4499	0
1.4504	0
1.4505	0
1.4505	1
1.4508	0
1.4538	0
1.4539	0
1.4539	1
1.4539	1
1.4544	0
1.4555	1
1.4558	0
1.4564	0
1.4565	1
1.4567	1
1.4579	0
1.4579	0
1.4583	0
1.4590	1
1.4594	0
1.4610	0
1.4627	1
1.4636	1
1.4651	0
1.4660	0
1.4666	0
1.4677	1
1.4702	1
1.4703	0
1.4709	1
1.4716	1
1.4721	1
1.4726	1
1.4726	1
1.4729	1
1.4730	1
1.4735	0
1.4737	0
1.4737	0
1.4738	1
1.4739	1
1.4743	1
1.4746	1
1.4750	1
1.4754	1
1.4758	0
1.4769	0
1.4769	0
1.4777	0
1.4778	0
1.4785	1
1.4790	0
1.4794	1
1.4804	1
1.4807	1
1.4816	0
1.4818	0
1.4818	0
1.4824	0
1.4833	0
1.4835	0
1.4837	0
1.4848	1
1.4851	0
1.4855	0
1.4863	1
1.4863	0
1.4865	1
1.4865	1
1.4866	0
1.4878	0
1.4888	1
1.4890	1
1.4891	1
1.4893	1
1.4906	1
1.4907	0
1.4911	1
1.4912	0
1.4917	1
1.4922	0
1.4922	1
1.4924	0
1.4924	0
1.4938	0
1.4938	1
1.4950	1
1.4954	1
1.4955	1
1.4960	0
1.4961	1
1.4962	1
1.4963	0
1.4965	0
1.4965	0
1.4967	0
1.4968	1
1.4968	1
1.4972	0
1.4974	1
1.4991	1
